날짜,기관합계,기타법인,개인,외국인합계
2003-06-24 00:00:00,140867247665 ,0 ,5791904975 ,-146659152640 
2003-06-25 00:00:00,-116591295735 ,0 ,64624971905 ,51966323830 
2003-06-26 00:00:00,-18737267010 ,0 ,-84142503770 ,102879770780 
2003-06-27 00:00:00,27300705335 ,0 ,-164744616590 ,137443911255 
2003-06-30 00:00:00,-3995842645 ,0 ,22315427595 ,-18319584950 
2003-07-01 00:00:00,3946663020 ,0 ,-26483711900 ,22537048880 
2003-07-02 00:00:00,94430129635 ,0 ,-226480589795 ,132050460160 
2003-07-03 00:00:00,-123407896710 ,0 ,-395210322245 ,518618218955 
2003-07-04 00:00:00,38659607285 ,0 ,-52671696435 ,14012089150 
2003-07-07 00:00:00,-34687430040 ,0 ,-34338439960 ,69025870000 
2003-07-08 00:00:00,-466114193230 ,0 ,-170816262885 ,636930456115 
2003-07-09 00:00:00,-201684660480 ,0 ,69475000575 ,132209659905 
2003-07-10 00:00:00,-206166519735 ,0 ,113878587720 ,92287932015 
2003-07-11 00:00:00,-106016405480 ,0 ,8644117180 ,97372288300 
2003-07-14 00:00:00,-205141949335 ,0 ,-197463267695 ,402605217030 
2003-07-15 00:00:00,-385532077470 ,0 ,65353408160 ,320178669310 
2003-07-16 00:00:00,-143840104930 ,0 ,-25927617370 ,169767722300 
2003-07-18 00:00:00,116556823970 ,0 ,35736664690 ,-152293488660 
2003-07-21 00:00:00,-72761390115 ,0 ,-32568834550 ,105330224665 
2003-07-22 00:00:00,23543356610 ,0 ,-87887874810 ,64344518200 
2003-07-23 00:00:00,65371578145 ,0 ,-39788124175 ,-25583453970 
2003-07-24 00:00:00,-14277081595 ,0 ,-61571367050 ,75848448645 
2003-07-25 00:00:00,-59819197795 ,0 ,-29236848625 ,89056046420 
2003-07-28 00:00:00,72172548730 ,0 ,-111649730590 ,39477181860 
2003-07-29 00:00:00,69546364850 ,0 ,-125233515550 ,55687150700 
2003-07-30 00:00:00,87825716730 ,0 ,-87633017430 ,-192699300 
2003-07-31 00:00:00,52343874065 ,0 ,29179654365 ,-81523528430 
2003-08-01 00:00:00,-63733815450 ,0 ,-116961501560 ,180695317010 
2003-08-04 00:00:00,-23617654850 ,0 ,-22004939200 ,45622594050 
2003-08-05 00:00:00,-48892430445 ,0 ,10173335065 ,38719095380 
2003-08-06 00:00:00,-36386123890 ,0 ,65229275420 ,-28843151530 
2003-08-07 00:00:00,-45651995920 ,0 ,17356196410 ,28295799510 
2003-08-08 00:00:00,-20506537235 ,0 ,4023644485 ,16482892750 
2003-08-11 00:00:00,70516360880 ,0 ,-38746059760 ,-31770301120 
2003-08-12 00:00:00,-48257579610 ,0 ,-25403192580 ,73660772190 
2003-08-13 00:00:00,51284661405 ,0 ,-157424241285 ,106139579880 
2003-08-14 00:00:00,896260780 ,0 ,-132555435630 ,131659174850 
2003-08-18 00:00:00,40958853300 ,0 ,-30611637340 ,-10347215960 
2003-08-19 00:00:00,-162618583795 ,0 ,-169078298555 ,331696882350 
2003-08-20 00:00:00,-160220737905 ,0 ,-99021755630 ,259242493535 
2003-08-21 00:00:00,-22272143830 ,0 ,-101766199155 ,124038342985 
2003-08-22 00:00:00,-189036445470 ,0 ,-151059074290 ,340095519760 
2003-08-25 00:00:00,-32541461635 ,0 ,-18645037965 ,51186499600 
2003-08-26 00:00:00,-65568047970 ,0 ,2356028610 ,63212019360 
2003-08-27 00:00:00,-51308273845 ,0 ,-33360613635 ,84668887480 
2003-08-28 00:00:00,-126966075585 ,0 ,-19843671415 ,146809747000 
2003-08-29 00:00:00,87503402360 ,0 ,-126944700470 ,39441298110 
2003-09-01 00:00:00,-176539688310 ,0 ,9791962725 ,166747725585 
2003-09-02 00:00:00,-64769508660 ,0 ,-45760600630 ,110530109290 
2003-09-03 00:00:00,-154552438030 ,0 ,-150178127865 ,304730565895 
2003-09-04 00:00:00,-139927486410 ,0 ,-75395672940 ,215323159350 
2003-09-05 00:00:00,-109024120900 ,0 ,-43674126880 ,152698247780 
2003-09-08 00:00:00,-134106409230 ,0 ,-9260469720 ,143366878950 
2003-09-09 00:00:00,-206179448455 ,0 ,-11294491175 ,217473939630 
2003-09-15 00:00:00,200920436260 ,0 ,39365476660 ,-240285912920 
2003-09-16 00:00:00,-101658197535 ,0 ,64375902585 ,37282294950 
2003-09-17 00:00:00,-127953652665 ,0 ,28514787725 ,99438864940 
2003-09-18 00:00:00,-25020028385 ,0 ,34929866395 ,-9909838010 
2003-09-19 00:00:00,-30347244910 ,0 ,-36699833540 ,67047078450 
2003-09-22 00:00:00,80666672730 ,0 ,-18623535540 ,-62043137190 
2003-09-23 00:00:00,24276123805 ,0 ,177169766800 ,-201445890605 
2003-09-24 00:00:00,-364221099445 ,0 ,81655066540 ,282566032905 
2003-09-25 00:00:00,-172744109995 ,0 ,108790919945 ,63953190050 
2003-09-26 00:00:00,-194785293350 ,0 ,152083026560 ,42702266790 
2003-09-29 00:00:00,89708137760 ,0 ,31332723960 ,-121040861720 
2003-09-30 00:00:00,-284761197060 ,0 ,13279144270 ,271482052790 
2003-10-01 00:00:00,-23306174800 ,0 ,64708689815 ,-41402515015 
2003-10-02 00:00:00,-59047175220 ,0 ,-202994288620 ,262041463840 
2003-10-06 00:00:00,-263214469000 ,0 ,-141032772160 ,404247241160 
2003-10-07 00:00:00,-215836453030 ,0 ,-39443761830 ,255280214860 
2003-10-08 00:00:00,-181902427365 ,0 ,-79428781765 ,261331209130 
2003-10-09 00:00:00,124617074615 ,0 ,-153570883350 ,28953808735 
2003-10-10 00:00:00,68526005890 ,0 ,-382093794760 ,313567788870 
2003-10-13 00:00:00,-10625396885 ,0 ,-154722464985 ,165347861870 
2003-10-14 00:00:00,-48172474415 ,0 ,-173334385045 ,221506859460 
2003-10-15 00:00:00,-66658110310 ,0 ,-63727329975 ,130385440285 
2003-10-16 00:00:00,30135875390 ,0 ,-119417456140 ,89281580750 
2003-10-17 00:00:00,73997964350 ,0 ,-80151631025 ,6153666675 
2003-10-20 00:00:00,39449439530 ,0 ,-17524837170 ,-21924602360 
2003-10-21 00:00:00,-32401793020 ,0 ,-121361655275 ,153763448295 
2003-10-22 00:00:00,-234910440540 ,0 ,-63081634750 ,297992075290 
2003-10-23 00:00:00,-363938558475 ,0 ,246411269680 ,117527288795 
2003-10-24 00:00:00,9604466370 ,0 ,188324183460 ,-197928649830 
2003-10-27 00:00:00,59217169525 ,0 ,29764179825 ,-88981349350 
2003-10-28 00:00:00,82229131210 ,0 ,-228477241355 ,146248110145 
2003-10-29 00:00:00,-203790700500 ,0 ,-331688341480 ,535479041980 
2003-10-30 00:00:00,141563601780 ,0 ,-180312072760 ,38748470980 
2003-10-31 00:00:00,-242572117155 ,0 ,-35644238445 ,278216355600 
2003-11-03 00:00:00,128420660150 ,0 ,-96562593210 ,-31858066940 
2003-11-04 00:00:00,-254525480465 ,0 ,-87255626935 ,341781107400 
2003-11-05 00:00:00,-156161678780 ,0 ,-19817621420 ,175979300200 
2003-11-06 00:00:00,-242176673650 ,0 ,-104354631175 ,346531304825 
2003-11-07 00:00:00,-15379282100 ,0 ,-92823246205 ,108202528305 
2003-11-10 00:00:00,-383877077440 ,0 ,88392739590 ,295484337850 
2003-11-11 00:00:00,-54824679825 ,0 ,105799109405 ,-50974429580 
2003-11-12 00:00:00,-44519119100 ,0 ,14035789510 ,30483329590 
2003-11-13 00:00:00,28576341125 ,0 ,-322806803320 ,294230462195 
2003-11-14 00:00:00,-180039672620 ,0 ,-28763778160 ,208803450780 
2003-11-17 00:00:00,-340389490930 ,0 ,301746273280 ,38643217650 
2003-11-18 00:00:00,-45936791055 ,0 ,94962936875 ,-49026145820 
2003-11-19 00:00:00,-305366128190 ,0 ,416111733490 ,-110745605300 
2003-11-20 00:00:00,-18235535665 ,0 ,158709360565 ,-140473824900 
2003-11-21 00:00:00,-5937587465 ,0 ,-41102613390 ,47040200855 
2003-11-24 00:00:00,36574349805 ,0 ,-18727715915 ,-17846633890 
2003-11-25 00:00:00,-48146614415 ,0 ,47178649375 ,967965040 
2003-11-26 00:00:00,57984851475 ,0 ,-126173726395 ,68188874920 
2003-11-27 00:00:00,-47003194145 ,0 ,-53034787205 ,100037981350 
2003-11-28 00:00:00,-11547049695 ,0 ,-150632353455 ,162179403150 
2003-12-01 00:00:00,46563840310 ,0 ,-141396505900 ,94832665590 
2003-12-02 00:00:00,-74873461970 ,0 ,-135786201230 ,210659663200 
2003-12-03 00:00:00,-4810432330 ,0 ,-108481179270 ,113291611600 
