date,주식형ETF설정액,주식형ETF해지액,주식형ETF증감,ETF제외주식형설정,ETF제외주식형해지,ETF제외주식형증감,단기금융설정,단기금융해지,단기금융증감,파생상품설정,파생상품해지,파생상품증감
2018-08-24,155,198,-43,1024,870,1929,"11,631","18,889","-7,259",839,878,-39
2018-08-23,206,252,-46,2034,1828,-1218,"18,777","40,046","-21,269",445,"1,817","-1,372"
2018-08-22,323,363,-40,971,648,1792,"24,251","25,455","-1,204","1,341",364,977
2018-08-21,361,300,61,2397,2036,-2002,"24,807","20,530","4,277",724,"1,478",-754
2018-08-20,310,238,72,750,440,742,"21,212","37,298","-16,087","1,435",394,"1,042"
2018-08-17,384,404,-20,1679,1295,-910,"43,365","52,923","-9,557",763,"1,200",-437
2018-08-16,184,218,-34,2311,2127,-1356,"30,454","22,966","7,488","1,640",340,"1,300"
2018-08-14,271,523,-252,1668,1397,957,"14,743","21,267","-6,524","1,870",451,"1,419"
2018-08-13,263,212,52,2085,1822,-1254,"25,322","22,604","2,718","1,156","2,167","-1,011"
2018-08-10,561,416,146,806,244,749,"16,327","38,898","-22,571","1,796",215,"1,581"
2018-08-09,379,308,72,2672,2293,-1892,"13,293","21,633","-8,339",351,"1,535","-1,184"
2018-08-08,414,217,197,1978,1563,689,"13,449","9,235","4,214","1,129",243,886
2018-08-07,225,634,-409,2493,2268,-2468,"18,671","19,062",-391,285,"1,348","-1,063"
2018-08-06,355,178,177,1682,1327,552,"13,775","14,937","-1,162","1,362",731,631
2018-08-03,150,445,-295,2282,2131,-2102,"47,952","16,452","31,500",914,"1,536",-622
2018-08-02,578,333,244,1399,821,194,"38,650","21,324","17,327","1,087","1,100",-12
2018-08-01,280,354,-75,1361,1082,-555,"29,835","20,709","9,125",458,"1,164",-705
2018-07-31,455,529,-74,689,233,-576,"41,892","76,616","-34,724","1,535",668,866
2018-07-30,560,242,318,621,61,33,"60,763","38,586","22,177",659,258,401
2018-07-27,356,318,38,2000,1644,-498,"37,184","35,683","1,500",835,263,571
2018-07-26,623,417,207,1908,1285,-634,"12,982","18,535","-5,553","1,013","1,783",-770
2018-07-25,1002,392,610,2938,1936,-1009,"16,009","23,279","-7,270","1,213",605,608
2018-07-24,323,705,-381,1663,1340,326,"17,702","27,989","-10,287","1,922",458,"1,464"
2018-07-23,583,225,358,2939,2356,-1676,"29,146","31,135","-1,989",941,"1,565",-625
2018-07-20,400,721,-321,2168,1767,-442,"29,779","26,167","3,612","2,428",625,"1,803"
2018-07-19,718,280,438,2847,2130,-1813,"27,332","20,361","6,972","1,086","1,431",-346
2018-07-18,226,227,-2,982,756,1661,"28,701","31,996","-3,295","1,663",373,"1,290"
2018-07-17,570,242,329,2627,2057,-1708,"15,608","19,522","-3,914","1,379","1,951",-572
2018-07-16,719,390,329,2621,1902,344,"35,129","19,936","15,193","1,461",760,701
