date,주식형ETF설정액,주식형ETF해지액,주식형ETF증감,ETF제외주식형설정,ETF제외주식형해지,ETF제외주식형증감,단기금융설정,단기금융해지,단기금융증감,파생상품설정,파생상품해지,파생상품증감
2018-07-13,534,314,220,2917,2382,-1226,"37,269","16,486","20,783","1,040","1,474",-434
2018-07-12,595,244,351,1241,645,953,"26,693","30,868","-4,175","1,639",317,"1,322"
2018-07-11,386,231,155,768,382,1780,"20,258","10,549","9,709",661,"1,019",-358
2018-07-10,409,444,-35,2070,1661,-1382,"23,083","29,830","-6,747",678,"2,334","-1,656"
2018-07-09,464,270,193,698,234,2840,"16,963","13,226","3,738","1,872",378,"1,495"
2018-07-06,459,607,-148,1392,934,-178,"36,646","13,747","22,899",897,"1,831",-934
2018-07-05,219,722,-503,2616,2397,-2544,"45,232","12,428","32,805","1,306",316,990
2018-07-04,308,522,-214,2141,1833,31,"105,821","22,136","83,686","2,160",626,"1,534"
2018-07-03,416,306,110,2906,2489,-1712,"77,791","19,376","58,415",647,"1,605",-958
2018-07-02,373,392,-19,2266,1893,-28,"30,615","26,910","3,705","1,723",269,"1,454"
2018-06-29,445,206,240,1892,1447,971,"38,813","86,301","-47,487","3,154","1,285","1,869"
2018-06-28,328,216,112,710,382,1982,"18,115","52,567","-34,452",604,"1,079",-474
2018-06-27,433,668,-235,1445,1012,-319,"32,630","29,785","2,845",549,"1,455",-906
2018-06-26,1032,437,594,3650,2619,-270,"26,618","22,745","3,873","1,697","1,179",518
2018-06-25,543,327,216,1132,589,1433,"17,128","52,499","-35,370","3,513",638,"2,875"
2018-06-22,378,377,1,2699,2321,-1818,"22,283","62,846","-40,563","1,460","3,544","-2,085"
2018-06-21,375,350,25,2834,2459,-209,"12,927","30,746","-17,820","2,168",758,"1,409"
2018-06-20,462,494,-33,3447,2986,-1383,"18,899","25,564","-6,666","3,504","1,941","1,564"
2018-06-19,511,411,101,1969,1458,-184,"25,133","23,456","1,678","4,258","1,138","3,121"
2018-06-18,625,280,345,1282,657,-100,"39,608","41,543","-1,935","3,193",751,"2,441"
2018-06-15,636,462,174,553,-83,-378,"22,563","25,386","-2,823","3,531","1,976","1,554"
2018-06-14,315,661,-346,732,418,-924,"26,149","19,636","6,512","1,553",735,818
2018-06-12,1182,663,520,2670,1488,1958,"49,851","29,326","20,525",485,"1,157",-672
2018-06-11,496,611,-116,2461,1965,-406,"18,685","39,130","-20,445","1,216","1,936",-721
2018-06-08,653,1057,-404,1599,946,361,"26,657","42,554","-15,897","2,013","1,032",982
2018-06-07,378,535,-157,1315,937,1623,"26,204","19,340","6,864",665,"2,035","-1,370"
2018-06-05,694,678,17,1108,415,1264,"46,173","17,093","29,080",905,"3,057","-2,152"
2018-06-04,489,512,-22,4108,3619,-435,"64,780","14,526","50,255","1,831","1,617",214
