,기간자금설정,기간자금해지,증감
2020-06-04,"35,579","30,612","4,966"
2020-06-03,"54,892","48,562","6,330"
2020-06-02,"53,220","37,198","16,022"
2020-06-01,"41,813","31,702","10,111"
2020-05-29,"48,200","81,990","-33,790"
2020-05-28,"44,246","58,111","-13,866"
2020-05-27,"53,293","38,708","14,585"
2020-05-26,"34,770","32,742","2,029"
2020-05-25,"27,791","27,235",556
2020-05-22,"43,546","41,456","2,090"
2020-05-21,"42,508","29,054","13,454"
2020-05-20,"28,984","29,700",-716
2020-05-19,"39,778","35,725","4,053"
2020-05-18,"27,204","19,245","7,959"
2020-05-15,"65,274","40,919","24,355"
2020-05-14,"50,599","23,488","27,111"
2020-05-13,"52,449","49,116","3,334"
2020-05-12,"64,307","39,399","24,908"
2020-05-11,"35,029","42,614","-7,585"
2020-05-08,"85,497","28,812","56,685"
2020-05-07,"46,259","20,361","25,898"
2020-05-06,"59,711","34,464","25,246"
2020-05-04,"32,998","39,622","-6,624"
2020-04-29,"45,585","81,468","-35,883"
2020-04-28,"50,257","43,143","7,113"
2020-04-27,"24,291","48,348","-24,057"
2020-04-24,"27,877","48,866","-20,990"
2020-04-23,"23,406","37,341","-13,935"
2020-04-22,"42,515","42,503",12
2020-04-21,"25,651","23,336","2,316"
2020-04-20,"29,321","29,759",-438
2020-04-17,"61,773","26,724","35,049"
2020-04-16,"54,596","40,008","14,588"
2020-04-14,"52,408","48,266","4,141"
2020-04-13,"41,381","33,937","7,444"
2020-04-10,"27,361","57,997","-30,636"
2020-04-09,"25,545","41,305","-15,760"
2020-04-08,"41,199","31,051","10,149"
2020-04-07,"58,976","45,348","13,629"
2020-04-06,"56,835","29,495","27,340"
2020-04-03,"54,641","27,502","27,139"
2020-04-02,"174,610","53,153","121,457"
2020-04-01,"31,212","41,120","-9,908"
2020-03-31,"54,838","154,024","-99,186"
2020-03-30,"38,339","96,443","-58,104"
2020-03-27,"72,127","79,921","-7,794"
2020-03-26,"36,868","56,067","-19,199"
2020-03-25,"47,663","81,249","-33,586"
2020-03-24,"46,865","85,937","-39,072"
2020-03-23,"40,145","52,941","-12,796"
2020-03-20,"32,050","80,162","-48,112"
2020-03-19,"37,367","38,745","-1,378"
2020-03-18,"56,179","39,286","16,893"
2020-03-17,"48,223","63,535","-15,313"
2020-03-16,"74,069","66,298","7,770"
2020-03-13,"48,279","39,817","8,462"
2020-03-12,"43,629","38,558","5,071"
2020-03-11,"37,307","33,483","3,824"
2020-03-10,"27,734","44,001","-16,267"
2020-03-09,"56,571","56,994",-423
2020-03-06,"36,551","45,780","-9,229"
2020-03-05,"26,832","29,204","-2,372"
2020-03-04,"43,206","35,858","7,347"
2020-03-03,"83,475","44,036","39,439"
2020-03-02,"40,909","36,895","4,014"
2020-02-28,"62,649","104,675","-42,025"
2020-02-27,"54,921","40,029","14,893"
2020-02-26,"28,537","31,831","-3,294"
2020-02-25,"41,670","37,460","4,210"
2020-02-24,"34,664","48,753","-14,089"
2020-02-21,"32,365","38,913","-6,548"
2020-02-20,"34,654","39,716","-5,063"
2020-02-19,"44,823","27,742","17,082"
2020-02-18,"38,418","30,437","7,980"
2020-02-17,"24,109","42,565","-18,455"
2020-02-14,"56,896","36,926","19,969"
2020-02-13,"37,730","32,881","4,850"
2020-02-12,"42,232","35,373","6,859"
2020-02-11,"41,670","30,726","10,944"
2020-02-10,"49,359","37,255","12,105"
2020-02-07,"52,352","35,075","17,277"
2020-02-06,"38,927","34,683","4,244"
2020-02-05,"52,452","21,345","31,107"
2020-02-04,"105,831","29,540","76,292"
2020-02-03,"45,718","36,308","9,410"
2020-01-31,"78,283","79,118",-835
2020-01-30,"49,654","41,696","7,958"
2020-01-29,"64,774","35,777","28,997"
2020-01-28,"18,690","40,127","-21,438"
