date,환율,거래량,기관합계,기타법인,개인,외국인합계,투자자예탁금,외국인_시가총액,외국인 비중,기간자금설정,기간자금해지,증감,유가증권신용거래융자
2010-02-19,"1,147.50","34,032",5370293214,-13146594670,-25992070045,33768371501,"12,376,793","2,723,181",32.29,"28,659","25,961","2,697","3,104,073"
2010-02-22,"1,157.80","30,265",272598046300,-12649812680,-516224842345,256276608725,"12,273,062","2,782,105",32.32,"14,492","13,120","1,372","3,094,052"
2010-02-23,"1,149.30","34,387",104607442710,-11314430610,-143203538310,49910526210,"12,567,668","2,780,094",32.28,"16,614","15,278","1,335","3,047,057"
2010-02-24,"1,148.50","38,415",57666180425,-11074885990,146287628220,-192878922655,"12,260,345","2,741,360",32.14,"24,727","12,395","12,332","3,036,904"
2010-02-25,"1,156.10","39,740",-90170411149,8904099490,315786920230,-234520608571,"12,495,257","2,694,027",32.09,"17,940","25,850","-7,910","3,029,853"
2010-02-26,"1,158.40","32,661",123622303605,2073845405,42712032065,-168408181075,"12,212,921","2,706,579",32.09,"32,594","39,640","-7,046","3,043,268"
2010-03-02,"1,160.20","40,787",-19864000130,3762943250,-405125240570,421226297450,"11,937,389","2,756,545",32.26,"13,188","21,760","-8,572","3,037,926"
2010-03-03,"1,152.70","39,370",150076600699,-117561400,-243907743025,93948703726,"11,711,321","2,766,708",32.24,"48,101","17,519","30,582","3,054,663"
2010-03-04,"1,146.60","37,767",-6984780230,-537393150,-128652173005,136174346385,"11,728,047","2,761,537",32.27,"24,738","13,820","10,918","3,011,143"
2010-03-05,"1,143.80","33,647",187484475641,-5273973365,-322603855085,140393352809,"11,779,785","2,787,615",32.25,"25,882","19,360","6,521","2,989,444"
2010-03-08,"1,141.90","36,054",100078700815,-28002323600,-573600623220,501524246005,"12,008,129","2,837,956",32.33,"15,536","14,486","1,050","2,975,616"
2010-03-09,"1,133.70","62,470",-4820068704,-30090015510,-283874111280,318784195494,"12,268,126","2,840,479",32.35,"25,556","37,788","-12,232","2,964,742"
2010-03-10,"1,134.50","49,021",62673969275,-32609060630,-176482220990,146417312345,"12,316,750","2,840,302",32.32,"18,358","23,763","-5,405","2,947,729"
2010-03-11,"1,132.70","52,016",238546991373,-20202197960,-32195933170,-186148860243,"12,537,609","2,829,154",32.3,"18,561","30,360","-11,800","2,954,101"
2010-03-12,"1,131.00","36,197",-110736403125,3197932615,-132421053345,239959523855,"12,701,342","2,837,221",32.28,"38,166","24,395","13,771","2,945,638"
2010-03-15,"1,131.10","33,763",-58546398564,-671902625,2422317760,56795983429,"12,804,453","2,813,054",32.25,"19,100","27,852","-8,752","2,954,575"
2010-03-16,"1,133.90","46,724",-494564110470,-109292244460,207974147350,395882207580,"12,641,813","2,813,274",32.28,"72,971","29,330","43,641","2,941,480"
2010-03-17,"1,133.70","59,709",-14130677385,-21093712350,-621325191585,656549581320,"12,675,826","2,893,523",32.23,"26,976","22,988","3,989","2,935,009"
2010-03-18,"1,129.50","42,414",-74007280140,-1184577370,-218648425510,293840283020,"12,613,000","2,878,680",32.21,"28,203","25,888","2,315","2,982,214"
2010-03-19,"1,131.30","43,328",28768096448,-2085458590,-312019143635,285336505777,"12,804,307","2,900,891",32.25,"22,755","19,174","3,582","2,949,829"
2010-03-22,"1,132.90","34,214",-309173578255,2107891150,263261503990,43804183115,"12,981,427","2,875,216",32.22,"25,344","25,437",-93,"2,944,273"
2010-03-23,"1,136.50","40,840",-91072314485,7450949365,-108302467875,191923832995,"13,132,661","2,898,066",32.3,"30,941","16,511","14,430","2,931,107"
2010-03-24,"1,134.30","36,444",-204559922220,-3750073640,-161196235005,369506230865,"12,902,146","2,906,036",32.4,"23,280","15,618","7,661","2,963,998"
2010-03-25,"1,135.50","38,220",-52578605290,-6381409885,-147083926205,206043941380,"12,923,514","2,920,862",32.42,"18,700","26,883","-8,183","2,981,684"
2010-03-26,"1,141.20","39,065",-84713707290,-7454959335,-119482095140,211650761765,"12,823,189","2,937,736",32.42,"27,166","13,590","13,575","2,974,591"
2010-03-29,"1,141.70","33,336",-105731994410,-9787997485,-210999257235,326519249130,"13,073,971","2,932,405",32.47,"17,751","16,527","1,224","2,993,965"
2010-03-30,"1,138.60","31,439",-220380722425,-18070600375,-116614408610,355065731410,"12,862,500","2,948,404",32.49,"33,334","37,775","-4,441","3,012,091"
2010-03-31,"1,130.80","32,274",-64353232170,-33202981570,-28394847690,125951061430,"13,068,297","2,934,216",32.48,"29,337","61,726","-32,388","3,001,187"
2010-04-01,"1,132.50","29,030",-45504671805,-16399492010,-385553639855,447457803670,"13,082,082","2,992,744",32.6,"24,371","45,803","-21,431","3,025,078"
2010-04-02,"1,128.30","34,303",-572569246020,2209671300,-52285573075,622645147795,"12,987,986","3,017,901",32.78,"50,308","43,566","6,741","3,037,095"
2010-04-05,"1,124.30","41,540",-235890628725,-19559024950,3500065395,251949588280,"13,673,796","3,037,876",32.95,"36,501","34,548","1,953","3,090,934"
2010-04-06,"1,125.10","41,354",-104319259750,-7600405220,-36558569400,148478234370,"13,607,271","3,040,359",32.96,"29,657","19,308","10,349","3,128,663"
2010-04-07,"1,123.10","38,251",-262427950150,-8483892970,-207812894360,478724737480,"13,457,761","3,039,372",32.94,"20,440","19,834",606,"3,165,297"
